Category,Name,Variant Name,Price,URL,Image,Alcool,Type,uid
Bière,La portneuvoise,,6.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/portneuvoise,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/les_grands_bois_la_portneuvoise_600_714.png?v=1616104462,4.5%,blonde,ff6f8e67ef524bfcaac381c859a3f20e
Bière,Giorgio,,6.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/giorgio,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/les_grands_bois_giorgio_600_714.png?v=1616081106,5%,blonde,55c0d3e2b8e444e6ac6fdebf542be4c2
Bière,Coup de foudre - Helles,,6.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/coup-de-foudre-helles,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/les_grands_bois_coup_de_foudre_helles_600_714.png?v=1616033451,4.8%,blonde,2a0c969b693a49d1a8441a6b7efdd996
Bière,Grisette du midi,,6.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/grisette-du-midi,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/les_grands_bois_grisette_du_midi_600_714.png?v=1616015125,3.5%,blonde,22c872fe9e164e1997b066289b89311c
Bière,Mandrill,,6.50,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/mandrill,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/ma_brasserie_mandrill_600_714.png?v=1616013893,6.2%,blonde,1ec3950e166b4a1590c3868651b74fd3
Bière,Grisette de la Marmite,,7.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/grisette-de-la-marmitte,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/sutton_brouerie_grisette_de_la_marmite_600_714.png?v=1616014450,4.3%,blonde,ddf4ae26b53040539a66b00dbd4f8881
Bière,Bébé Mandrill,,6.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/bebe-mandrill,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/ma_brasserie_bebe_mandrill_600_714.png?v=1615915152,4.1%,blonde,04db9c79f7e54d5281fecc07aeee7197
Bière,Pilz - Výčepní,,5.75,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/pilz-vycepni,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/ma_brasserie_pilz_vycepni_600_714.png?v=1616074733,4%,blonde,27af1c9b7f1843f49c1fac56185b8ba0
Bière,Saison Bee-Bop,,7.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/saison-bee-bop,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/sutton_brouerie_saison_bee_bop_600_714.png?v=1616015688,5.8%,blonde,a0d5d647836842fe883089424a21ce50
Bière,Pilz - Světlý,,5.75,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/pilz-svetly,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/ma_brasserie_pilz_svetly_600_714.png?v=1616074688,5%,blonde,cc59cc6c588e404f93d17d77bb6e39cf
Bière,Saison des Palombes,,7.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/saison-des-palombes,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/sutton_brouerie_saison_des_palombes_600_714.png?v=1616016647,5.4%,blonde,fb933e09e2a643b1b077e9d189f85921
Bière,Stout blanc,,4.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/stout-blanc,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/oshlag_stout_blanc_600_714.png?v=1617319933,5.6%,blonde,b95874b8dfd44168b3ff702a7f688953
Bière,C1 Leichtbier,,4.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/c1-leichtbier,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/harricana_c1_leichtbier_600_714.png?v=1615914258,3%,blonde,a036787d86d948e3960975088054fdba
